Ticker;Cotacao;P/L;P/VP;PSR;DY;P/Ativo;P/Cap.Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Mrg.Ebit;Mrg.Liq.;Liq.Corr.;ROIC;ROE;Liq.2meses;Pat.Liq;Div.Brut/Pat.;Cresc.5anos
MOAR3;464.99;11.43;6.15;9369.4;0.0992;2.648;9.69;-163.21;-14.75;-166.53;-170.62;-57.4062;819.796;3.34;-0.0261;0.5379;440026.0;926690000.0;1.0;0.0704
PARD3;19.99;11.52;2.84;1.277;0.0206;1.102;35.12;6.53;-4.09;6.74;5.12;0.1956;0.1111;1.1;0.2116;0.2466;5292830.0;921634000.0;0.36;0.157
UGPA3;12.31;11.73;1.3;0.117;0.0636;0.365;1.43;8.88;-3.82;17.89;11.65;0.0132;0.0103;1.71;0.0531;0.111;101316000.0;10542200000.0;1.63;0.0657
VITT3;9.21;11.89;2.66;1.615;0.0247;1.498;4.48;8.5;5.54;10.07;9.37;0.1899;0.1356;1.91;0.1846;0.2236;2634910.0;495549000.0;0.52;0.4077
LCAM3;23.71;12.12;2.38;1.806;0.0197;0.64;20.09;5.96;-1.24;10.05;7.73;0.303;0.149;1.18;0.1382;0.196;104026000.0;5076600000.0;2.06;0.4601
ASAI3;14.27;12.14;6.44;0.438;0.0121;0.592;21.48;5.76;-1.12;7.74;6.32;0.076;0.0361;1.08;0.1567;0.5308;120033000.0;2984000000.0;3.69;0.3482
EQPA5;6.7;12.17;4.03;1.75;0.0657;1.227;7.82;6.94;-3.88;8.1;6.87;0.2521;0.1439;1.71;0.223;0.3308;389.91;3676940000.0;1.14;0.1057
JOPA4;35.09;12.21;0.68;0.18;0.0259;0.167;0.45;3.72;3.93;8.7;7.42;0.0482;0.0183;2.11;0.0692;0.0554;81.6;548874000.0;2.04;0.1854
ODPV3;9.35;12.27;4.37;2.883;0.0299;2.641;-200.16;8.25;-26.56;7.73;7.11;0.3494;0.235;0.96;0.39;0.3565;13445400.0;1214980000.0;0.0;0.0536
BMKS3;260.0;12.39;0.6;6.833;0.0688;0.528;0.72;-45.55;0.82;11.93;28.0;-0.15;0.5515;26.84;-0.0363;0.0482;16796.1;197873000.0;0.01;0.0882
CPLE5;22.0;12.46;2.68;2.449;0.0532;1.197;16.53;15.53;-3.88;17.56;13.55;0.1576;0.2002;1.44;0.0876;0.2147;1322.51;22501400000.0;0.53;0.1439
BBSE3;25.96;12.55;6.15;0.0;0.0557;4.282;0.0;10.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4897;117877000.0;8445020000.0;0.0;0.0
RECV3;25.64;12.68;3.6;5.007;0.0054;1.486;-27.87;13.6;-4.21;13.44;9.14;0.3681;0.3949;0.81;0.1306;0.2837;42514500.0;2085380000.0;0.28;0.0
AESB3;10.66;12.75;1.61;1.993;0.0046;0.414;2.81;16.18;-0.99;29.25;11.24;0.1232;0.1883;2.91;0.0317;0.126;15996000.0;3263940000.0;1.98;0.0
FIQE3;3.37;12.88;1.25;2.337;0.0;0.753;2.55;8.46;10.18;6.06;3.4;0.2762;0.1815;2.65;0.1572;0.0974;2362690.0;972414000.0;0.3;0.0
BSLI3;20.0;12.94;3.02;0.0;0.0624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2335;2472.93;2403030000.0;0.0;-0.0144
VIVT3;47.06;13.04;1.13;1.772;0.0702;0.677;-1596.19;15.59;-3.2;17.39;5.1;0.1137;0.1356;1.0;0.0496;0.0864;95616100.0;70102900000.0;0.22;0.004
MRSA3B;28.06;13.17;1.93;2.091;0.0;0.74;45.69;7.88;-1.63;10.17;5.35;0.2653;0.1588;1.11;0.1069;0.1464;219.42;4947960000.0;0.81;0.058
MRSA5B;28.06;13.17;1.93;2.091;0.0183;0.74;45.69;7.88;-1.63;10.17;5.35;0.2653;0.1588;1.11;0.1069;0.1464;200.28;4947960000.0;0.81;0.058
MRSA6B;28.06;13.17;1.93;2.091;0.0183;0.74;45.69;7.88;-1.63;10.17;5.35;0.2653;0.1588;1.11;0.1069;0.1464;747.4;4947960000.0;0.81;0.058
